fecha,valor,completo_mediciones,completo_umbral
2019/07/23,1.60,100.0,100.0
2019/07/24,1.60,100.0,100.0
2019/07/25,3.10,100.0,100.0
2019/07/26,0.00,100.0,100.0
2019/07/27,0.00,100.0,100.0
2019/07/28,0.00,100.0,100.0
2019/07/29,0.00,100.0,100.0
2019/07/30,0.00,100.0,100.0
2019/07/31,0.00,100.0,100.0
2019/08/01,0.00,100.0,100.0
2019/08/02,0.10,100.0,100.0
2019/08/03,0.00,100.0,100.0
2019/08/04,0.00,100.0,100.0
2019/08/05,0.00,99.7,100.0
2019/08/06,0.00,99.7,100.0
2019/08/07,0.00,99.7,100.0
2019/08/08,0.00,99.7,100.0
2019/08/09,0.00,99.7,100.0
2019/08/10,0.00,99.7,100.0
2019/08/11,0.00,99.7,100.0
2019/08/12,0.00,99.7,100.0
2019/08/13,0.00,99.7,100.0
2019/08/14,0.00,99.7,100.0
2019/08/15,0.00,99.7,100.0
2019/08/16,0.10,86.1,83.3
2019/08/17,0.00,100.0,100.0
2019/08/18,0.00,100.0,100.0
2019/08/19,0.00,100.0,100.0
2019/08/20,0.00,100.0,100.0
2019/08/21,0.00,100.0,100.0
2019/08/22,0.00,100.0,100.0
2019/08/23,0.00,100.0,100.0
2019/08/24,0.00,100.0,100.0
2019/08/25,0.00,100.0,100.0
2019/08/26,0.00,100.0,100.0
2019/08/27,0.00,100.0,100.0
2019/08/28,0.00,100.0,100.0
2019/08/29,0.00,99.3,100.0
2019/08/30,0.00,100.0,100.0
2019/08/31,0.00,100.0,100.0
2019/09/01,0.00,100.0,100.0
2019/09/02,0.40,100.0,100.0
2019/09/03,0.00,100.0,100.0
2019/09/04,0.00,100.0,100.0
2019/09/05,0.00,100.0,100.0
2019/09/06,0.00,100.0,100.0
2019/09/07,0.00,100.0,100.0
2019/09/08,0.00,100.0,100.0
2019/09/09,0.00,99.7,100.0
2019/09/10,0.00,100.0,100.0
2019/09/11,0.00,100.0,100.0
2019/09/12,0.00,99.7,100.0
2019/09/13,0.00,99.0,100.0
2019/09/14,0.00,100.0,100.0
2019/09/15,0.00,99.7,100.0
2019/09/16,0.00,99.7,100.0
2019/09/17,0.00,100.0,100.0
2019/09/18,13.60,100.0,100.0
2019/09/19,,,
2019/09/20,,,
2019/09/21,,,
2019/09/22,,,
2019/09/23,,,
2019/09/24,5.70,99.3,100.0
2019/09/25,0.00,97.9,100.0
2019/09/26,0.00,97.2,100.0
2019/09/27,0.00,93.8,95.8
2019/09/28,0.00,91.0,87.5
2019/09/29,13.70,95.2,100.0
2019/09/30,0.20,90.3,95.8
2019/10/01,0.00,91.7,91.7
2019/10/02,0.40,92.4,91.7
2019/10/03,7.10,97.2,100.0
2019/10/04,1.00,99.7,100.0
2019/10/05,0.00,99.3,100.0
2019/10/06,9.80,98.3,100.0
2019/10/07,9.20,100.0,100.0
2019/10/08,0.00,100.0,100.0
2019/10/09,0.00,100.0,100.0
2019/10/10,0.00,100.0,100.0
2019/10/11,0.00,100.0,100.0
2019/10/12,0.00,100.0,100.0
2019/10/13,2.60,100.0,100.0
2019/10/14,0.00,100.0,100.0
2019/10/15,0.00,100.0,100.0
2019/10/16,0.10,100.0,100.0
2019/10/17,7.80,100.0,100.0
2019/10/18,6.40,99.7,100.0
2019/10/19,14.20,99.7,100.0
2019/10/20,0.60,100.0,100.0
2019/10/21,2.50,99.7,100.0
2019/10/22,14.30,99.7,100.0
2019/10/23,6.60,100.0,100.0
2019/10/24,30.80,100.0,100.0
2019/10/25,0.10,99.3,100.0
2019/10/26,0.10,98.6,100.0
2019/10/27,0.00,100.0,100.0
2019/10/28,0.10,100.0,100.0
2019/10/29,0.00,100.0,100.0
2019/10/30,2.00,100.0,100.0
2019/10/31,0.30,99.0,100.0
2019/11/01,24.20,99.7,100.0
2019/11/02,5.70,100.0,100.0
2019/11/03,3.90,100.0,100.0
2019/11/04,1.00,100.0,100.0
2019/11/05,8.50,100.0,100.0
2019/11/06,16.80,100.0,100.0
2019/11/07,0.00,100.0,100.0
2019/11/08,0.00,100.0,100.0
2019/11/09,25.60,100.0,100.0
2019/11/10,17.30,100.0,100.0
2019/11/11,41.10,99.7,100.0
2019/11/12,15.80,100.0,100.0
2019/11/13,28.20,100.0,100.0
2019/11/14,8.00,100.0,100.0
2019/11/15,8.40,99.7,100.0
2019/11/16,0.00,100.0,100.0
2019/11/17,4.60,100.0,100.0
2019/11/18,1.70,100.0,100.0
2019/11/19,8.40,100.0,100.0
2019/11/20,5.90,100.0,100.0
2019/11/21,3.40,100.0,100.0
2019/11/22,1.60,100.0,100.0
2019/11/23,0.00,100.0,100.0
2019/11/24,0.40,100.0,100.0
2019/11/25,0.10,100.0,100.0
2019/11/26,0.00,100.0,100.0
2019/11/27,0.00,100.0,100.0
2019/11/28,0.00,100.0,100.0
