fecha,valor,max_abs,min_abs,direccion,completo_mediciones,completo_umbral
2019/07/23,,,,,,
2019/07/24,,,,,,
2019/07/25,,,,,,
2019/07/26,,,,,,
2019/07/27,,,,,,
2019/07/28,,,,,,
2019/07/29,,,,,,
2019/07/30,,,,,,
2019/07/31,,,,,,
2019/08/01,,,,,,
2019/08/02,,,,,,
2019/08/03,,,,,,
2019/08/04,,,,,,
2019/08/05,,,,,,
2019/08/06,,,,,,
2019/08/07,,,,,,
2019/08/08,,,,,,
2019/08/09,,,,,,
2019/08/10,,,,,,
2019/08/11,,,,,,
2019/08/12,,,,,,
2019/08/13,,,,,,
2019/08/14,,,,,,
2019/08/15,,,,,,
2019/08/16,,,,,47.6,45.8
2019/08/17,1.137500,1.900000,0.600000,356.385786,100.0,100.0
2019/08/18,0.780000,1.100000,0.500000,42.496784,100.0,100.0
2019/08/19,2.508421,4.000000,1.000000,121.514232,100.0,100.0
2019/08/20,1.997727,5.200000,0.200000,97.794144,100.0,100.0
2019/08/21,1.400000,1.800000,1.000000,35.250000,100.0,100.0
2019/08/22,0.240000,0.400000,0.100000,235.319532,100.0,100.0
2019/08/23,0.790476,1.400000,0.300000,282.001102,100.0,100.0
2019/08/24,2.082822,4.800000,0.600000,311.652496,100.0,100.0
2019/08/25,2.755621,5.900000,0.500000,317.490318,100.0,100.0
2019/08/26,0.950000,1.600000,0.400000,284.836329,100.0,100.0
2019/08/27,2.228571,4.700000,0.200000,103.601894,100.0,100.0
2019/08/28,1.972500,4.000000,0.200000,102.175092,100.0,100.0
2019/08/29,2.439850,5.500000,0.400000,314.896317,99.3,100.0
2019/08/30,1.716185,4.500000,0.100000,313.528573,100.0,100.0
2019/08/31,0.625000,1.300000,0.100000,217.041386,100.0,100.0
2019/09/01,1.422222,3.600000,0.400000,49.042942,100.0,100.0
2019/09/02,1.140000,2.500000,0.500000,272.461604,100.0,100.0
2019/09/03,0.450000,0.600000,0.300000,286.000000,100.0,100.0
2019/09/04,0.500000,0.800000,0.100000,271.042317,100.0,100.0
2019/09/05,1.679762,2.900000,0.100000,125.020726,100.0,100.0
2019/09/06,2.386170,4.000000,0.100000,122.036802,100.0,100.0
2019/09/07,2.689773,4.100000,0.500000,123.188436,99.7,100.0
2019/09/08,1.475000,2.300000,0.000000,351.798001,99.7,100.0
2019/09/09,1.717197,3.200000,0.300000,312.556985,99.7,100.0
2019/09/10,1.509091,2.300000,0.300000,105.838876,100.0,100.0
2019/09/11,1.285714,3.100000,0.300000,98.006632,100.0,100.0
2019/09/12,1.283721,2.800000,0.100000,102.898982,99.7,100.0
2019/09/13,0.957143,1.500000,0.800000,5.301488,98.3,100.0
2019/09/14,2.588406,4.600000,0.200000,119.205094,99.3,100.0
2019/09/15,1.056028,2.600000,0.100000,313.116688,99.3,100.0
2019/09/16,0.000000,,,,99.3,100.0
2019/09/17,0.500000,1.600000,0.000000,231.148816,100.0,100.0
2019/09/18,0.300000,0.400000,0.200000,231.500000,100.0,100.0
2019/09/19,0.366667,0.400000,0.300000,230.997861,100.0,100.0
2019/09/20,1.044444,2.500000,0.100000,103.653979,99.7,100.0
2019/09/21,0.500000,0.700000,0.300000,1.049477,100.0,100.0
2019/09/22,1.704211,2.900000,0.500000,125.985573,99.7,100.0
2019/09/23,1.736364,5.300000,0.600000,352.962190,100.0,100.0
2019/09/24,0.927273,1.500000,0.300000,104.144233,99.3,100.0
2019/09/25,1.711765,3.100000,0.200000,121.171606,97.6,100.0
2019/09/26,0.700000,1.000000,0.400000,184.534536,97.2,100.0
2019/09/27,0.460000,0.600000,0.200000,47.852568,91.7,95.8
2019/09/28,0.600000,0.600000,0.600000,50.000000,89.6,91.7
2019/09/29,1.237190,3.000000,0.300000,314.550292,92.7,100.0
2019/09/30,0.763750,2.100000,0.000000,315.142774,83.7,87.5
2019/10/01,0.500000,0.700000,0.300000,288.251445,83.3,83.3
2019/10/02,0.800000,2.100000,0.300000,230.418282,85.1,91.7
2019/10/03,0.383333,0.600000,0.100000,52.281378,95.8,100.0
2019/10/04,0.750000,1.200000,0.300000,217.500000,99.7,100.0
2019/10/05,0.000000,,,,99.3,100.0
2019/10/06,1.041667,2.800000,0.100000,104.964615,97.2,100.0
2019/10/07,0.600000,1.200000,0.200000,356.136605,100.0,100.0
2019/10/08,0.500000,1.000000,0.100000,173.295976,100.0,100.0
2019/10/09,0.400000,0.800000,0.100000,282.453062,100.0,100.0
2019/10/10,1.016000,2.600000,0.100000,310.736930,100.0,100.0
2019/10/11,1.416949,3.100000,0.100000,123.986085,100.0,100.0
2019/10/12,1.284328,5.300000,0.100000,314.021470,100.0,100.0
2019/10/13,1.653448,2.900000,0.100000,133.375109,100.0,100.0
2019/10/14,1.009091,2.200000,0.100000,175.137955,100.0,100.0
2019/10/15,0.618750,0.900000,0.300000,287.394274,100.0,100.0
2019/10/16,0.856000,2.700000,0.100000,314.177437,100.0,100.0
2019/10/17,0.533333,1.100000,0.100000,178.163975,100.0,100.0
2019/10/18,1.183740,2.400000,0.100000,313.632148,99.7,100.0
2019/10/19,0.000000,,,,99.0,100.0
2019/10/20,0.840000,1.700000,0.100000,100.815341,100.0,100.0
2019/10/21,1.346957,2.800000,0.100000,127.318147,99.3,100.0
2019/10/22,0.290000,0.600000,0.000000,270.185071,99.7,100.0
2019/10/23,0.253333,0.500000,0.000000,278.548993,99.7,100.0
2019/10/24,0.360000,0.700000,0.000000,80.203331,100.0,100.0
2019/10/25,0.650000,1.100000,0.200000,231.500000,98.3,100.0
2019/10/26,0.400000,0.700000,0.100000,277.899185,96.2,100.0
2019/10/27,1.059615,2.100000,0.100000,313.005927,99.7,100.0
2019/10/28,0.800000,0.800000,0.800000,343.500000,100.0,100.0
2019/10/29,0.400000,0.500000,0.300000,344.313169,100.0,100.0
2019/10/30,1.359777,2.900000,0.300000,315.238397,100.0,100.0
