fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2019/07/23,,,,,
2019/07/24,,,,,
2019/07/25,,,,,
2019/07/26,,,,,
2019/07/27,,,,,
2019/07/28,,,,,
2019/07/29,,,,,
2019/07/30,,,,,
2019/07/31,,,,,
2019/08/01,,,,,
2019/08/02,,,,,
2019/08/03,,,,,
2019/08/04,,,,,
2019/08/05,,,,,
2019/08/06,,,,,
2019/08/07,,,,,
2019/08/08,,,,,
2019/08/09,,,,,
2019/08/10,,,,,
2019/08/11,,,,,
2019/08/12,,,,,
2019/08/13,,,,,
2019/08/14,,,,,
2019/08/15,,,,,
2019/08/16,,,,,
2019/08/17,,,,,
2019/08/18,,,,,
2019/08/19,,,,,
2019/08/20,,,,23.3,20.8
2019/08/21,13.235,18.98,8.67,100.0,100.0
2019/08/22,13.997,18.93,10.29,100.0,100.0
2019/08/23,13.737,18.82,10.20,100.0,100.0
2019/08/24,13.779,19.28,9.22,100.0,100.0
2019/08/25,14.082,20.71,9.44,100.0,100.0
2019/08/26,14.117,21.10,9.25,100.0,100.0
2019/08/27,14.664,20.26,9.74,100.0,100.0
2019/08/28,14.437,19.82,10.77,100.0,100.0
2019/08/29,14.076,19.90,8.90,100.0,100.0
2019/08/30,13.822,20.90,7.80,100.0,100.0
2019/08/31,13.968,20.90,8.90,100.0,100.0
2019/09/01,13.825,19.70,9.40,99.7,100.0
2019/09/02,13.566,21.80,8.40,100.0,100.0
2019/09/03,14.300,21.30,9.20,100.0,100.0
2019/09/04,14.008,21.40,9.30,100.0,100.0
2019/09/05,14.387,21.40,9.50,99.7,100.0
2019/09/06,14.470,20.60,9.80,100.0,100.0
2019/09/07,14.339,21.00,8.90,99.7,100.0
2019/09/08,14.235,20.20,8.50,100.0,100.0
2019/09/09,13.869,20.50,8.90,100.0,100.0
2019/09/10,14.534,21.70,9.70,100.0,100.0
2019/09/11,14.120,21.70,8.80,100.0,100.0
2019/09/12,14.093,21.90,9.60,100.0,100.0
2019/09/13,15.146,21.60,10.30,100.0,100.0
2019/09/14,14.173,19.70,9.70,100.0,100.0
2019/09/15,13.583,19.60,9.60,100.0,100.0
2019/09/16,13.356,20.80,7.10,100.0,100.0
2019/09/17,12.705,20.40,7.00,100.0,100.0
2019/09/18,12.224,18.20,8.80,100.0,100.0
2019/09/19,11.805,18.40,9.20,100.0,100.0
2019/09/20,11.969,19.90,9.40,100.0,100.0
2019/09/21,13.248,19.00,9.60,100.0,100.0
2019/09/22,13.582,19.60,8.30,100.0,100.0
2019/09/23,12.915,19.50,8.30,100.0,100.0
2019/09/24,12.244,20.00,5.40,100.0,100.0
2019/09/25,12.966,18.10,8.80,99.3,100.0
2019/09/26,13.616,21.60,8.40,100.0,100.0
2019/09/27,13.763,21.00,9.60,100.0,100.0
2019/09/28,13.127,19.80,9.50,100.0,100.0
2019/09/29,12.187,20.60,8.50,100.0,100.0
2019/09/30,11.611,18.20,8.90,99.7,100.0
2019/10/01,12.715,20.00,8.30,100.0,100.0
2019/10/02,12.716,19.20,10.00,99.7,100.0
2019/10/03,12.010,15.70,8.70,100.0,100.0
2019/10/04,13.202,20.20,9.50,99.3,100.0
2019/10/05,11.761,18.90,7.00,100.0,100.0
2019/10/06,12.143,17.70,8.80,100.0,100.0
2019/10/07,12.388,17.20,8.00,99.3,100.0
2019/10/08,12.371,17.00,9.40,99.7,100.0
2019/10/09,12.900,18.60,7.70,99.3,100.0
2019/10/10,13.323,18.70,8.80,100.0,100.0
2019/10/11,13.169,17.60,9.40,100.0,100.0
2019/10/12,13.531,20.40,7.70,100.0,100.0
2019/10/13,11.789,18.70,7.90,100.0,100.0
2019/10/14,12.338,20.30,7.00,100.0,100.0
2019/10/15,12.388,17.70,8.90,100.0,100.0
2019/10/16,12.202,19.00,9.00,99.7,100.0
2019/10/17,11.742,18.50,9.10,99.7,100.0
2019/10/18,11.782,18.80,8.50,99.0,100.0
2019/10/19,11.389,19.10,9.20,95.5,95.8
2019/10/20,11.769,15.30,9.30,99.3,100.0
2019/10/21,11.535,17.00,8.90,99.7,100.0
2019/10/22,11.204,15.90,9.10,99.3,100.0
2019/10/23,10.968,15.70,8.50,99.0,100.0
2019/10/24,11.177,18.20,8.40,99.7,100.0
2019/10/25,12.088,18.80,7.50,98.3,100.0
2019/10/26,11.907,18.00,8.00,98.3,100.0
2019/10/27,12.957,18.60,8.80,100.0,100.0
2019/10/28,14.007,21.00,8.90,99.7,100.0
2019/10/29,12.605,18.00,8.70,100.0,100.0
2019/10/30,12.252,19.60,9.00,99.7,100.0
2019/10/31,12.835,19.80,9.20,100.0,100.0
2019/11/01,12.207,19.90,9.20,100.0,100.0
2019/11/02,12.346,17.80,8.70,99.7,100.0
2019/11/03,13.300,18.40,10.40,100.0,100.0
2019/11/04,13.353,19.30,10.30,100.0,100.0
2019/11/05,13.352,20.80,8.90,99.7,100.0
2019/11/06,13.310,20.20,10.00,99.3,100.0
2019/11/07,14.249,20.60,10.20,100.0,100.0
2019/11/08,14.125,21.40,8.30,100.0,100.0
2019/11/09,12.752,18.70,10.50,99.7,100.0
2019/11/10,12.275,18.10,9.50,99.7,100.0
2019/11/11,11.602,16.40,10.40,99.3,100.0
2019/11/12,11.957,16.40,9.70,100.0,100.0
2019/11/13,11.254,15.40,9.60,99.7,100.0
2019/11/14,12.009,16.70,9.50,100.0,100.0
2019/11/15,11.165,14.60,9.60,99.3,100.0
2019/11/16,11.681,15.10,9.70,100.0,100.0
2019/11/17,12.354,18.30,9.40,100.0,100.0
2019/11/18,12.058,18.90,9.50,100.0,100.0
2019/11/19,11.116,16.40,8.90,100.0,100.0
2019/11/20,12.215,18.80,9.20,100.0,100.0
2019/11/21,11.790,16.80,8.70,100.0,100.0
2019/11/22,11.959,17.10,9.20,100.0,100.0
2019/11/23,11.969,18.00,9.00,100.0,100.0
2019/11/24,12.342,19.20,8.10,100.0,100.0
