fecha,valor,max_abs,min_abs,direccion,completo_mediciones,completo_umbral
2019/07/23,,,,,,
2019/07/24,,,,,,
2019/07/25,,,,,,
2019/07/26,,,,,,
2019/07/27,,,,,,
2019/07/28,,,,,,
2019/07/29,,,,,,
2019/07/30,,,,,,
2019/07/31,,,,,,
2019/08/01,,,,,,
2019/08/02,,,,,,
2019/08/03,,,,,,
2019/08/04,,,,,,
2019/08/05,,,,,,
2019/08/06,,,,,,
2019/08/07,,,,,,
2019/08/08,,,,,,
2019/08/09,,,,,,
2019/08/10,,,,,,
2019/08/11,,,,,,
2019/08/12,,,,,,
2019/08/13,,,,,,
2019/08/14,,,,,,
2019/08/15,,,,,,
2019/08/16,,,,,,
2019/08/17,,,,,,
2019/08/18,,,,,,
2019/08/19,,,,,,
2019/08/20,,,,,22.9,20.8
2019/08/21,2.629304,6.406000,0.633000,98.064974,100.0,100.0
2019/08/22,1.094000,1.094000,1.094000,329.000000,100.0,100.0
2019/08/23,1.031235,1.914000,0.492000,264.201663,100.0,100.0
2019/08/24,1.387191,2.867000,0.266000,256.888976,100.0,100.0
2019/08/25,2.154444,4.031000,0.719000,44.086699,100.0,100.0
2019/08/26,1.443189,2.125000,0.695000,254.870085,100.0,100.0
2019/08/27,3.683923,5.438000,2.562000,107.088088,100.0,100.0
2019/08/28,2.002628,3.852000,0.375000,172.697815,100.0,100.0
2019/08/29,0.300000,0.300000,0.300000,309.000000,100.0,100.0
2019/08/30,4.940000,7.700000,2.000000,106.995642,97.6,100.0
2019/08/31,4.603125,7.400000,0.600000,91.836855,95.2,100.0
2019/09/01,3.598485,5.400000,0.900000,132.784323,94.8,100.0
2019/09/02,1.485714,4.100000,0.600000,320.210711,99.3,100.0
2019/09/03,3.055000,6.100000,0.100000,93.574855,96.9,100.0
2019/09/04,3.715000,6.900000,0.900000,357.568128,96.2,100.0
2019/09/05,1.611111,2.500000,0.600000,180.560801,99.3,100.0
2019/09/06,0.650000,1.000000,0.300000,316.500000,99.0,100.0
2019/09/07,1.494118,2.500000,0.900000,256.050894,95.5,100.0
2019/09/08,1.659375,2.800000,0.700000,180.292910,100.0,100.0
2019/09/09,3.605000,7.100000,0.800000,95.567190,97.9,100.0
2019/09/10,1.700000,2.500000,1.100000,254.908923,96.5,100.0
2019/09/11,1.527273,2.700000,0.500000,225.298267,97.6,100.0
2019/09/12,0.000000,,,,96.2,100.0
2019/09/13,3.679032,5.900000,1.800000,96.734740,99.3,100.0
2019/09/14,2.883333,5.500000,0.300000,139.272119,99.0,100.0
2019/09/15,3.280000,5.800000,1.100000,94.027606,99.3,100.0
2019/09/16,1.022222,1.500000,0.600000,263.070638,99.3,100.0
2019/09/17,1.256757,4.100000,0.300000,264.084195,94.1,100.0
2019/09/18,1.557143,3.400000,0.300000,259.531557,94.1,95.8
2019/09/19,0.000000,,,,97.2,100.0
2019/09/20,0.833333,1.500000,0.100000,317.453939,94.8,100.0
2019/09/21,1.191304,2.600000,0.300000,140.649055,94.1,100.0
2019/09/22,1.202857,2.100000,0.300000,223.604459,93.1,100.0
2019/09/23,2.658333,3.500000,1.200000,45.969689,92.4,95.8
2019/09/24,1.450000,2.600000,0.300000,135.740854,96.5,100.0
2019/09/25,1.333333,2.000000,0.600000,99.251534,96.2,100.0
2019/09/26,1.311905,2.000000,0.200000,181.163099,99.7,100.0
2019/09/27,1.321429,2.700000,0.400000,178.587095,94.5,91.7
2019/09/28,1.635897,3.600000,0.300000,90.098653,96.9,100.0
2019/09/29,2.500000,5.000000,0.100000,264.988586,95.1,100.0
2019/09/30,1.551724,3.500000,0.200000,91.103542,98.6,100.0
2019/10/01,1.792857,4.300000,0.200000,272.124825,99.3,100.0
2019/10/02,2.032877,4.200000,0.200000,46.652647,98.6,100.0
2019/10/03,1.092000,2.200000,0.200000,263.624937,100.0,100.0
2019/10/04,1.055556,1.600000,0.600000,260.328260,98.6,100.0
2019/10/05,2.511111,4.600000,0.300000,36.857813,98.3,100.0
2019/10/06,0.000000,,,,94.8,100.0
2019/10/07,0.000000,,,,97.2,100.0
2019/10/08,0.466667,0.600000,0.300000,300.666128,99.7,100.0
2019/10/09,1.987500,4.400000,0.200000,261.583957,99.3,100.0
2019/10/10,1.887500,3.600000,0.100000,8.428215,100.0,100.0
2019/10/11,1.223684,2.400000,0.200000,225.236056,99.0,100.0
2019/10/12,2.505882,3.800000,1.100000,100.295667,99.0,100.0
2019/10/13,0.929032,2.500000,0.000000,40.068948,96.9,100.0
2019/10/14,0.000000,,,,98.3,100.0
2019/10/15,2.126316,4.100000,0.400000,39.759076,97.6,100.0
2019/10/16,0.800000,1.200000,0.400000,296.000000,98.3,100.0
2019/10/17,1.615714,4.000000,0.100000,135.739240,99.3,100.0
2019/10/18,0.976923,1.500000,0.600000,311.862540,99.0,100.0
2019/10/19,1.228571,2.400000,0.100000,177.609458,95.5,95.8
2019/10/20,1.786207,3.600000,0.200000,0.050075,99.3,100.0
2019/10/21,0.500000,0.800000,0.200000,6.280980,99.3,100.0
2019/10/22,1.723077,3.900000,0.300000,83.489260,99.3,100.0
2019/10/23,1.325000,2.300000,0.700000,315.207629,98.6,100.0
2019/10/24,1.669231,2.100000,1.100000,5.601780,99.3,100.0
2019/10/25,1.678261,3.300000,0.100000,90.450830,98.3,100.0
2019/10/26,1.177273,2.000000,0.400000,310.761190,98.3,100.0
2019/10/27,2.112698,3.900000,0.100000,90.844863,97.9,100.0
2019/10/28,2.036986,4.700000,0.400000,133.516354,99.0,100.0
2019/10/29,2.165714,4.400000,0.300000,81.458825,100.0,100.0
2019/10/30,1.588235,2.900000,0.300000,309.247164,96.9,100.0
2019/10/31,1.930159,3.300000,0.300000,45.844587,100.0,100.0
2019/11/01,2.116000,4.800000,0.300000,224.223473,99.0,100.0
2019/11/02,1.760976,2.700000,0.200000,42.579455,99.0,100.0
