fecha,valor,max_abs,min_abs,direccion,completo_mediciones,completo_umbral
2019/07/23,,,,,,
2019/07/24,,,,,,
2019/07/25,,,,,,
2019/07/26,,,,,,
2019/07/27,,,,,,
2019/07/28,,,,,,
2019/07/29,,,,,,
2019/07/30,,,,,,
2019/07/31,,,,,,
2019/08/01,,,,,,
2019/08/02,,,,,,
2019/08/03,,,,,,
2019/08/04,,,,,,
2019/08/05,,,,,,
2019/08/06,,,,,,
2019/08/07,,,,,,
2019/08/08,,,,,,
2019/08/09,,,,,,
2019/08/10,,,,,,
2019/08/11,,,,,,
2019/08/12,,,,,,
2019/08/13,,,,,,
2019/08/14,,,,,,
2019/08/15,,,,,,
2019/08/16,,,,,,
2019/08/17,,,,,,
2019/08/18,,,,,,
2019/08/19,,,,,,
2019/08/20,,,,,,
2019/08/21,,,,,47.6,45.8
2019/08/22,1.216667,3.600000,0.300000,190.823961,100.0,100.0
2019/08/23,4.716949,7.100000,0.800000,107.983112,100.0,100.0
2019/08/24,2.427957,3.600000,1.000000,207.640835,100.0,100.0
2019/08/25,0.150000,0.200000,0.100000,276.500000,100.0,100.0
2019/08/26,2.342647,3.500000,0.300000,207.296938,100.0,100.0
2019/08/27,3.825000,5.500000,1.800000,110.041937,100.0,100.0
2019/08/28,0.800000,0.800000,0.800000,278.000000,100.0,100.0
2019/08/29,4.486154,7.200000,0.900000,106.815727,100.0,100.0
2019/08/30,0.400000,0.400000,0.400000,253.000000,100.0,100.0
2019/08/31,3.332877,5.400000,0.700000,88.960080,100.0,100.0
2019/09/01,1.660000,4.200000,0.500000,191.463830,100.0,100.0
2019/09/02,2.242857,3.600000,1.000000,321.965048,100.0,100.0
2019/09/03,0.500000,0.500000,0.500000,341.000000,100.0,100.0
2019/09/04,2.850000,5.300000,0.700000,3.906448,100.0,100.0
2019/09/05,2.454651,4.400000,0.300000,208.379652,100.0,100.0
2019/09/06,2.498507,3.800000,0.700000,208.634227,100.0,100.0
2019/09/07,2.650909,4.300000,0.300000,206.490129,99.7,100.0
2019/09/08,2.226506,4.600000,0.600000,194.668337,99.7,100.0
2019/09/09,3.104464,4.700000,0.800000,206.174462,100.0,100.0
2019/09/10,3.147273,5.700000,0.100000,87.830326,100.0,100.0
2019/09/11,3.181250,5.600000,0.500000,84.751088,100.0,100.0
2019/09/12,2.765000,6.000000,0.300000,91.607073,100.0,100.0
2019/09/13,1.713793,3.400000,0.400000,184.979571,100.0,100.0
2019/09/14,0.000000,,,,99.0,100.0
2019/09/15,0.650000,1.000000,0.200000,316.541990,99.3,100.0
2019/09/16,2.001111,3.400000,0.200000,207.252282,99.7,100.0
2019/09/17,0.925000,1.400000,0.400000,124.938561,100.0,100.0
2019/09/18,2.927660,4.800000,1.200000,309.305398,100.0,100.0
2019/09/19,1.823810,3.200000,0.500000,5.956037,100.0,100.0
2019/09/20,2.175000,4.300000,0.100000,258.870680,100.0,100.0
2019/09/21,1.506452,3.500000,0.100000,0.328933,99.7,100.0
2019/09/22,0.200000,0.500000,0.000000,4.750000,100.0,100.0
2019/09/23,1.600000,2.900000,0.700000,131.037212,100.0,100.0
2019/09/24,2.133333,2.500000,1.500000,1.500000,100.0,100.0
2019/09/25,2.267403,3.600000,0.400000,208.283585,100.0,100.0
2019/09/26,0.600000,0.900000,0.300000,351.000000,100.0,100.0
2019/09/27,2.935000,5.300000,1.400000,314.607236,100.0,100.0
2019/09/28,1.887500,3.700000,0.100000,3.085165,100.0,100.0
2019/09/29,0.562500,1.100000,0.300000,263.712976,100.0,100.0
2019/09/30,0.781481,1.700000,0.200000,225.862235,100.0,100.0
2019/10/01,0.705556,3.100000,0.100000,129.030946,99.7,100.0
2019/10/02,3.843478,5.900000,0.200000,311.383576,99.7,100.0
2019/10/03,1.031250,1.800000,0.200000,10.079193,100.0,100.0
2019/10/04,1.876923,2.800000,0.500000,0.489449,100.0,100.0
2019/10/05,2.356250,4.900000,0.800000,358.169491,100.0,100.0
2019/10/06,1.865060,4.200000,0.000000,51.963063,100.0,100.0
2019/10/07,0.580000,0.900000,0.300000,186.635165,100.0,100.0
2019/10/08,1.513889,2.900000,0.400000,89.275661,100.0,100.0
2019/10/09,1.896970,4.700000,0.300000,127.525105,100.0,100.0
2019/10/10,1.180000,1.900000,0.400000,50.273735,100.0,100.0
2019/10/11,0.792857,1.400000,0.200000,132.545004,99.7,100.0
2019/10/12,2.212500,3.100000,0.900000,311.491179,100.0,100.0
2019/10/13,1.478378,3.300000,0.000000,86.962115,100.0,100.0
2019/10/14,1.007692,1.700000,0.500000,127.024685,100.0,100.0
2019/10/15,1.230000,4.100000,0.000000,0.400177,100.0,100.0
2019/10/16,1.842857,2.800000,0.400000,2.377118,100.0,100.0
2019/10/17,0.000000,,,,99.3,100.0
2019/10/18,0.672222,2.100000,0.100000,186.519102,100.0,100.0
2019/10/19,0.897959,2.900000,0.000000,220.398121,95.5,100.0
2019/10/20,1.240541,2.300000,0.000000,128.097429,99.0,100.0
2019/10/21,1.060000,3.300000,0.200000,356.161552,99.7,100.0
2019/10/22,1.116667,2.500000,0.100000,272.047594,100.0,100.0
2019/10/23,2.624000,4.200000,0.200000,318.721728,99.7,100.0
2019/10/24,2.096875,4.300000,0.400000,52.628269,99.7,100.0
2019/10/25,1.300000,1.500000,1.100000,45.000000,98.3,100.0
2019/10/26,1.734783,2.900000,0.200000,94.516721,98.3,100.0
2019/10/27,1.193333,2.400000,0.000000,188.991593,100.0,100.0
2019/10/28,3.279592,5.900000,0.200000,54.647414,100.0,100.0
2019/10/29,1.008696,2.200000,0.300000,127.306794,100.0,100.0
2019/10/30,1.831707,3.600000,0.100000,94.653365,99.3,100.0
2019/10/31,1.268750,2.200000,0.400000,6.128929,98.3,100.0
2019/11/01,0.838710,1.600000,0.200000,184.788642,100.0,100.0
2019/11/02,2.044444,3.500000,0.100000,312.987598,99.7,100.0
